config,seed,best_epoch,val_auc,val_f1,test_iid_auc,test_iid_f1,test_shift_auc,test_shift_f1,robust_gap_auc
baseline,11,24,0.9759843277185987,0.9239766081871345,0.9640377114271221,0.9164265129682997,0.9663465743121513,0.8979591836734694,-0.0023088628850291837
baseline,22,30,0.9744101030242606,0.9026548672566371,0.9672911091287542,0.92,0.9696174633992759,0.896551724137931,-0.0023263542705217466
baseline,33,30,0.9766664917528117,0.9112426035502958,0.9623060642633503,0.9122807017543859,0.961291563904777,0.893491124260355,0.0010145003585733114
alta_capacidade,11,13,0.9829284077591787,0.9464788732394366,0.9698448514106802,0.9235127478753541,0.9709293173112242,0.9131652661064426,-0.0010844659005440072
alta_capacidade,22,12,0.980741984572598,0.9212827988338192,0.9664865053960925,0.9069767441860465,0.968375575029298,0.8933717579250721,-0.0018890696332055645
alta_capacidade,33,18,0.9803921568627452,0.9318181818181818,0.9659967466022984,0.9261363636363636,0.9668188417204526,0.905982905982906,-0.0008220951181542313
regularizada,11,40,0.9691801787619597,0.8942598187311178,0.9569711916880936,0.9053254437869822,0.9589827010197479,0.8961424332344213,-0.002011509331654282
regularizada,22,44,0.9680607300904305,0.9166666666666666,0.9624809781182768,0.9080118694362018,0.9647898410033058,0.9047619047619048,-0.0023088628850289616
regularizada,33,44,0.967938290391982,0.9009009009009009,0.9551171048258732,0.9009009009009009,0.95621906211191,0.884272997032641,-0.001101957286036792
